"","logFC","logCPM","F","PValue"
"TSPAN6",-0.297974538834463,5.60860113451912,26.1211763162534,0.0922238973148498
"DPM1",-0.0608234792488768,5.22786874101381,0.579324651203455,0.763783002024241
"SCYL3",-0.251317792936514,4.41393228639402,10.7794001658384,0.359886668433604
"C1orf112",0.285840517551308,3.96771871727494,8.56298075537758,0.379648947278253
"CFH",2.76601086717822,2.09049277890855,165.453228190095,0.00277356393650415
"FUCA2",0.171818815504809,6.16981598835975,9.11255173040526,0.233453407585695
"GCLC",0.358455861914974,6.47288709629664,34.9539839551877,0.00574136577951754
"NFYA",-0.13508382848816,6.07805725735084,6.53806270055352,0.365108642790386
"STPG1",0.107161303096126,3.34619824915866,1.08919723704445,0.797814679298962
"NIPAL3",0.381476391543401,5.53399228050407,37.2826968995822,0.0355885102092421
"LAS1L",0.316356782085673,5.13490957988909,16.2318810914734,0.131223684064346
"ENPP4",-0.241645716552606,5.46895694509737,9.25169013466174,0.193634559782759
"SEMA3F",-0.0564900261661699,4.47371486500128,0.399546119680295,0.832817664330976
"ANKIB1",0.391451687068393,6.37418660423996,48.6288679778731,0.00360121910175299
"CYP51A1",-0.30625783013467,2.69095842239501,1.71718085111269,0.587183633567721
"KRIT1",0.145404022446836,5.36028111864796,3.78850454633069,0.450722637063588
"RAD52",0.779054320528443,4.46875302482966,92.7504192448913,0.00416292369902974
"MYH16",-1.41507239116802,1.71905943634104,42.4199124365864,0.180687571358774
"BAD",0.148874274789947,3.93480845355324,1.47174834532314,0.651131759195944
"LAP3",1.48116934966361,6.59961590173652,746.435756547689,2.23222992070485e-13
"CD99",0.109235823277155,5.97846693564379,2.26747515072762,0.47912404835962
"HS3ST1",-3.48355813618743,4.80831173693028,1106.92173121962,1.54485516148078e-14
"AOC1",0.324531191480729,1.55400010314476,1.10525640431566,0.776595486901824
"WNT16",-5.58062908814974,5.09183443526415,1923.51549391429,3.57923843685148e-16
"HECW1",0.660182094906943,4.17625878968706,47.7079960473621,0.0291449372302145
"MAD1L1",0.381741793744196,4.41180168552053,21.1345113797457,0.164412967340204
"LASP1",0.341266943833158,8.64970592926143,51.3802861471338,5.31585396242192e-06
"SNX11",-0.0867972632469623,4.61931287473445,1.55833231501894,0.731977190342859
"M6PR",0.247028963166592,6.85227807399015,28.1111246204506,0.0292892192470867
"KLHL13",0.619336476365403,2.89390372004969,22.2901649720018,0.228908430382139
"CYP26B1",0.0964670172950281,5.03339226035664,1.46063976392799,0.656930840025961
"ICA1",0.309482448740586,4.78864899222695,15.7021426413898,0.193663849482543
"DBNDD1",0.0406927601412864,6.21863355743511,0.37166644269004,0.773967392491869
"ALS2",-0.0834406606579594,5.97460892711588,2.06798481411023,0.589562562617115
"CASP10",1.61680648647557,3.65738297859689,218.640658915912,3.897713220423e-05
"CFLAR",0.679547660412075,6.62088550094095,155.912826402146,4.46259376815629e-08
"TFPI",1.03113168869076,6.26429159388164,277.989953739604,1.63540082751598e-10
"NDUFAF7",0.257259183015158,4.66253235267497,9.52168904881973,0.302280324134094
"RBM5",0.455399842440609,6.99462938269603,86.6392310802315,2.5525319420284e-05
"SLC7A2",-0.183051425846265,4.03908103322996,4.80748214963366,0.563203104593374
"ARF5",0.0567997581242797,6.51659143097005,0.503662055477926,0.655979197299427
"SARM1",-0.1948826064063,2.64738432485537,2.07733883841446,0.734637899125616
"POLDIP2",0.145327465690829,5.81059002089193,5.35114044401851,0.375271754347798
"PLXND1",-0.0399344993072495,6.31351150193228,0.376833628081279,0.770730203620157
"AK2",-0.0892383065682361,7.17013910525073,3.73453855439796,0.378590925941709
"FKBP4",0.0365153900301459,7.08894334878489,0.45598694096442,0.726075899051634
"KDM1A",-0.512983885043985,7.40262261591694,129.341361565777,5.34867062982001e-08
"RBM6",0.103362065508887,6.46582128509719,4.07390825094622,0.425829635989948
"CAMKK1",-0.330261210343995,4.32690835216995,10.0323322861721,0.245236493905091
"RECQL",0.00575332848591058,5.02147238585006,0.00398183120776731,0.978962718797185
"CCDC132",0.647966232145052,4.41262425436871,53.409515314162,0.0190443690430778
