"","logFC","logCPM","F","PValue","FDR"
"EREG",-7.11546358739023,8.08430152598904,6574.23987436799,7.91917527238372e-20,1.00885402412788e-15
"NEDD9",6.48591670503841,7.92951774952908,5857.28398733814,1.74867632256001e-19,1.00885402412788e-15
"ALPK2",5.8967775910524,7.20851936325629,5536.90779157899,2.57195895388559e-19,1.00885402412788e-15
"PHLDA1",-3.97873575532742,8.67402347247848,5481.04801853711,2.75718508917157e-19,1.00885402412788e-15
"APOL6",4.65276646736673,6.9676794476338,3887.05069630477,2.90770222590443e-18,6.49525660813589e-15
"KRT80",5.00023439090293,7.04627752819858,3846.96752974551,3.12171610066902e-18,6.49525660813589e-15
"DUSP6",-5.17228311251897,7.64278926220789,3788.35615315931,3.46797211051548e-18,6.49525660813589e-15
"VCAN",-7.47835334910063,7.36246814846504,3750.21367508795,3.71692741464348e-18,6.49525660813589e-15
"RNF43",-5.23554339507469,6.43819888702492,3711.05183117591,3.99407689759654e-18,6.49525660813589e-15
"AREG",-6.28544530769472,6.60560468971626,3495.88151226091,6.01317845751045e-18,8.8008879904123e-15
"SPRY4",-4.28861545817292,6.65338542964845,3309.08836361379,8.75845928246132e-18,1.16535281871004e-14
"IFIT1",3.92127532368724,7.72244490374246,3239.12799459588,1.01384970280396e-17,1.2365586875199e-14
"TNFRSF19",5.04521859440719,5.87300179125581,3092.28418314126,1.39290577316152e-17,1.52903725693805e-14
"KRT7",4.79396106493083,8.43987091082683,3070.3105206341,1.46259371393364e-17,1.52903725693805e-14
"TNS3",2.9333371534543,8.18864702304841,3002.30245647327,1.70495955053574e-17,1.62202932369848e-14
"SSFA2",-2.74835724343635,9.34255227570358,2983.70714202384,1.77903030632995e-17,1.62202932369848e-14
"PDE4B",-4.43543403885418,6.14752904477614,2958.81673869539,1.88401875532073e-17,1.62202932369848e-14
"TNIK",-3.1865474532165,7.15131474501495,2898.44740167446,2.16949916905734e-17,1.76138849533232e-14
"IFIT3",4.23226485040347,6.85477970347141,2876.27253553261,2.28657976300315e-17,1.76138849533232e-14
"IFIT2",3.6047203942534,6.60919902299536,2786.8434944682,2.83829892153758e-17,2.0770671507812e-14
"CD47",2.84418132366339,7.99744572795247,2748.95923994395,3.11696576555131e-17,2.17237671164804e-14
"OGFRL1",3.11873214919269,8.00236282162698,2725.70085524776,3.30354639873475e-17,2.19775932235826e-14
"ADAM19",-4.08496456577832,6.50816607040169,2689.81627909264,3.61708764517364e-17,2.30172585977224e-14
"NT5E",-4.19825794449227,6.32389330885594,2584.23136064531,4.75698210821669e-17,2.90096625566081e-14
"LAMP3",3.96012583548334,6.07129209018621,2515.93448939679,5.71337536611218e-17,3.34483847433671e-14
"MUC16",5.15791530422626,7.13205081450095,2460.84141792883,6.64743747901454e-17,3.74199595934065e-14
"KLK5",5.33746872582328,5.69174320924783,2376.2473944214,8.44376690120503e-17,4.57714712466803e-14
"ITGB8",2.98686133822357,7.63933302170364,2316.43756346009,1.00514166746551e-16,5.25401908750899e-14
"LCN2",4.96272375029923,5.29598634448799,2297.12276990146,1.06435474167741e-16,5.37168827558296e-14
"CPOX",-2.13350579331783,7.7944935904554,2102.44593497841,1.94952878351042e-16,9.45164316664145e-14
"ETV1",-4.14169943546193,5.63462458023796,2094.30152055496,2.00191950099675e-16,9.45164316664145e-14
"RHOBTB3",-2.58272996340969,7.74235265277348,2074.88518509015,2.13345587526763e-16,9.75789380950534e-14
"IFI44",5.33222775536498,6.24030069945028,2054.26535984404,2.28410784170193e-16,1.01303643548938e-13
"CCL28",7.89082704156447,4.39361512124808,2037.07072742376,2.41910138693075e-16,1.02514998107149e-13
"EHF",2.15521968307323,8.24388735574101,2031.80765438324,2.46223192241614e-16,1.02514998107149e-13
"OAS1",4.73108168393062,6.71410669545813,2011.65172243514,2.63575608661429e-16,1.02514998107149e-13
"ERRFI1",-2.16979445851242,8.60998430510143,2009.52949081862,2.65482831027636e-16,1.02514998107149e-13
"TSC22D1",-2.0542294902557,7.99108385646495,2008.7762411628,2.66163564366744e-16,1.02514998107149e-13
"PARP14",2.44502098699196,8.28513875519284,1982.66004260963,2.91049799792939e-16,1.08504143442875e-13
"ABCC2",-3.02154123487153,6.59944012309638,1977.24219446238,2.96540430289356e-16,1.08504143442875e-13
"SYBU",3.01122489136918,6.38329652834838,1948.38014515125,3.27867757689176e-16,1.17040792720458e-13
"WNT16",-5.58062908814974,5.09183443526415,1923.51549391429,3.57923843685148e-16,1.24727937527996e-13
"GLIS3",2.5399164489753,6.71520112791379,1898.67417501121,3.91145568274406e-16,1.33135035750331e-13
"ALDH1A3",1.91086177128775,9.14137704413894,1886.03410505549,4.09397807529697e-16,1.34097148512403e-13
"MACC1",2.47828278183707,7.13374777628832,1880.7442067133,4.17324607256738e-16,1.34097148512403e-13
"RSAD2",5.95944595492893,4.77733718614435,1878.0308459485,4.21458652061393e-16,1.34097148512403e-13
"CASC10",3.09279083375042,5.71423841968464,1868.40551845949,4.36506738058752e-16,1.35930055706976e-13
"TIAM1",-2.58558494465485,6.85934718828359,1842.53150880585,4.80105536233015e-16,1.42877738829702e-13
"HMGA2",-2.72792484198439,7.35123985212084,1842.41260219327,4.80317102289216e-16,1.42877738829702e-13
"KIAA0040",-3.06053539418926,5.9012302286098,1838.07751263506,4.88103781189197e-16,1.42877738829702e-13
"CMPK2",4.49905661947593,4.77947754976,1808.36492173577,5.45539276429675e-16,1.56559075486759e-13
"ETV5",-2.40871556808929,6.52988477761621,1791.95113362786,5.80570014328647e-16,1.63408129417578e-13
"SLCO3A1",3.54027846192144,5.09841306383221,1782.87042549489,6.0105416109926e-16,1.65981673619788e-13
"PROM2",3.32614166875206,6.34546293620331,1736.64764771092,7.19063454802725e-16,1.94229882214836e-13
"TMEM200A",-4.30516946238358,4.93348683546056,1732.8491124877,7.29888188153592e-16,1.94229882214836e-13
"WNT7B",3.62690235407014,6.06951352669933,1720.54124022557,7.66265994821917e-16,1.9768892319074e-13
"FBLN1",3.06729335682323,7.02765570433609,1719.34835625594,7.69900835055492e-16,1.9768892319074e-13
"ZFP36L2",2.46970833584097,7.88940422646415,1695.37442381371,8.4731063280291e-16,2.11714557542842e-13
"SLC27A2",2.80336671294512,5.87335649682501,1693.58004612851,8.53454420266991e-16,2.11714557542842e-13
"PHLDB2",-2.61399577283742,7.24386280437625,1665.3585105918,9.57122916638364e-16,2.33474183465318e-13
"SRGAP3",2.88473694979209,6.63073938329935,1647.68835648229,1.0293635393488e-15,2.46979750195231e-13
"VTCN1",3.23515789510709,5.21251140942881,1642.00140520488,1.05392768746489e-15,2.48794929576388e-13
"THBS1",3.05655627322016,5.45550739830578,1637.88054964379,1.07214708828004e-15,2.49078488635979e-13
"SLC20A1",-2.26623888103772,7.74648979435495,1632.60798186699,1.09598705422001e-15,2.50638539461939e-13
"SAMD9L",5.30649605897442,5.61777376146105,1623.12168851337,1.1404251894445e-15,2.55813599279494e-13
"PLK2",2.24240688098292,7.66644340224163,1620.39591728437,1.15357321347681e-15,2.55813599279494e-13
